Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/09/28 11:10:00 AM,2018/09/28,11:10,2018,Friday,2018/09/28 12:06:00 PM,71982506154,719825,180735658,182711356,II,Initial,,06154,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",Open or Active,ELLIS ST \ POWELL ST,24894000,Tenderloin,Financial District/South Beach,3,37.785491559268934,-122.40785252141461,"(37.785491559268934, -122.40785252141461)"
2018/09/28 05:00:00 PM,2018/09/28,17:00,2018,Friday,2018/09/28 05:00:00 PM,71982607041,719826,180735777,182712138,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,ALABAMA ST \ MARIPOSA ST,24045000,Mission,Mission,9,37.76291589268423,-122.41217329153451,"(37.76291589268423, -122.41217329153451)"
2018/09/28 03:05:00 PM,2018/09/28,15:05,2018,Friday,2018/09/28 03:18:00 PM,71982751040,719827,180736270,182712305,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,TREAT AVE \ PRECITA AVE,21159000,Ingleside,Bernal Heights,9,37.746824998777896,-122.41254705065515,"(37.746824998777896, -122.41254705065515)"
2018/09/27 01:00:00 PM,2018/09/27,13:00,2018,Thursday,2018/09/27 03:45:00 PM,71982806243,719828,180733602,182702515,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,LOMBARD ST \ HYDE ST,25565000,Central,Russian Hill,2,37.801994861944884,-122.41961397441787,"(37.801994861944884, -122.41961397441787)"
2018/09/24 03:00:00 PM,2018/09/24,15:00,2018,Monday,2018/09/28 04:30:00 PM,71982964070,719829,180736515,182712814,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,LEAVENWORTH ST \ CHESTNUT ST,25531000,Central,Russian Hill,2,37.80313539815936,-122.41815109318372,"(37.80313539815936, -122.41815109318372)"
2018/09/27 02:00:00 PM,2018/09/27,14:00,2018,Thursday,2018/09/28 12:31:00 PM,71983006364,719830,180736418,182711680,II,Initial,,06364,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",Open or Active,HAYES ST \ LAGUNA ST,25932000,Northern,Hayes Valley,5,37.77646430525107,-122.42626334607084,"(37.77646430525107, -122.42626334607084)"
2018/09/27 07:20:00 PM,2018/09/27,19:20,2018,Thursday,2018/09/28 06:27:00 PM,71983106304,719831,180736684,182713223,II,Initial,,06304,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, >$950",Open or Active,16TH ST \ JOSE SARRIA CT \ PROSPER ST,25798000,Mission,Castro/Upper Market,8,37.76432401133162,-122.43170028845323,"(37.76432401133162, -122.43170028845323)"
2018/09/28 10:30:00 AM,2018/09/28,10:30,2018,Friday,2018/09/28 05:52:00 PM,71983206244,719832,180736656,182713063,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GEARY BLVD \ CLEARY CT,26496000,Northern,Western Addition,5,37.78506173708372,-122.42643012778156,"(37.78506173708372, -122.42643012778156)"
2018/09/28 06:45:00 PM,2018/09/28,18:45,2018,Friday,2018/09/28 06:45:00 PM,71983307041,719833,180736719,182711981,VI,Vehicle Initial,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,NEWCOMB AVE \ BARNEVELD AVE,20806000,Bayview,Bayview Hunters Point,10,37.74312376235638,-122.40327519404315,"(37.74312376235638, -122.40327519404315)"
2018/09/11 02:57:00 PM,2018/09/11,14:57,2018,Tuesday,2018/09/28 06:46:00 PM,71983406373,719834,180736747,182713315,II,Initial,,06373,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",Open or Active,20TH ST \ SOUTH VAN NESS AVE,24128000,Mission,Mission,9,37.75876422799191,-122.41687248251154,"(37.75876422799191, -122.41687248251154)"
